entry_date,exit_date,held,exit_reason,entry_spy,exit_spy,pnl_pct,policy
2017-02-14,2018-02-02,353,VIX +6/5d,201.7720642089844,242.441650390625,90.19890519862153,BASELINE_current
2017-03-07,2018-02-02,332,VIX +6/5d,204.62123107910156,242.441650390625,73.10778461651162,BASELINE_current
2017-03-28,2018-02-02,311,VIX +6/5d,204.0545959472656,242.441650390625,85.31299793729079,BASELINE_current
2017-04-11,2018-02-02,297,VIX +6/5d,203.8291778564453,242.441650390625,83.4001905071349,BASELINE_current
2017-04-25,2018-02-02,283,VIX +6/5d,206.85549926757812,242.441650390625,83.50946595930506,BASELINE_current
2017-05-15,2018-02-02,263,VIX +6/5d,208.3729705810547,242.441650390625,75.84461122774627,BASELINE_current
2017-05-30,2018-02-02,248,VIX +6/5d,209.4135284423828,242.441650390625,72.84690722126635,BASELINE_current
2017-06-15,2018-02-02,232,VIX +6/5d,211.38194274902344,242.441650390625,67.2271515839925,BASELINE_current
2017-06-29,2018-02-02,218,VIX +6/5d,210.3040313720703,242.441650390625,74.38263533869178,BASELINE_current
2017-07-13,2018-02-02,204,VIX +6/5d,212.97911071777344,242.441650390625,70.04819492049407,BASELINE_current
2017-08-07,2018-02-05,182,VIX>30,215.9853515625,232.30213928222656,96.26919459419659,BASELINE_current
2017-08-22,2018-03-22,212,SPY broke 50DMA,213.867919921875,233.00282287597656,46.72525682031577,BASELINE_current
2017-09-05,2018-03-22,198,SPY broke 50DMA,214.40814208984375,233.00282287597656,39.5459182363741,BASELINE_current
2017-10-25,2018-10-10,350,VIX +6/5d,223.55484008789065,248.15383911132812,41.38111137756666,BASELINE_current
2017-11-08,2018-10-10,336,VIX +6/5d,226.8999786376953,248.15383911132812,30.916746543878055,BASELINE_current
2017-11-22,2018-10-10,322,VIX +6/5d,227.46920776367188,248.15383911132812,33.11654289639319,BASELINE_current
2017-12-20,2018-10-10,294,VIX +6/5d,235.0306396484375,248.15383911132812,18.57302428508438,BASELINE_current
2018-01-03,2018-10-10,280,VIX +6/5d,238.0585021972656,248.15383911132812,12.627487997422929,BASELINE_current
2018-02-01,2018-10-10,251,VIX +6/5d,247.83709716796875,248.15383911132812,-10.92488422389307,BASELINE_current
2018-02-15,2018-10-10,237,VIX +6/5d,240.31166076660156,248.15383911132812,-7.180475666906316,BASELINE_current
2018-03-09,2018-10-10,215,VIX +6/5d,245.45179748535156,248.15383911132812,-10.766837946881584,BASELINE_current
2018-03-23,2018-10-10,201,VIX +6/5d,228.03643798828125,248.15383911132812,9.267479601131,BASELINE_current
2018-04-06,2018-10-10,187,VIX +6/5d,229.51222229003903,248.15383911132812,11.849475832523362,BASELINE_current
2018-05-09,2018-11-05,180,SPY broke 50DMA,238.15467834472656,243.7756500244141,-0.647116302438078,BASELINE_current
2018-05-29,2018-11-26,181,SPY broke 50DMA,237.7305603027344,238.523681640625,-10.155258168124323,BASELINE_current
2018-06-12,2018-12-10,181,SPY broke 50DMA,246.47906494140625,235.46522521972656,-22.537967171411143,BASELINE_current
2018-07-06,2019-01-02,180,SPY broke 50DMA,244.47906494140625,224.38253784179688,-37.49288232616139,BASELINE_current
2018-07-27,2019-05-07,284,VIX +6/5d,249.80514526367188,259.37744140625,-4.8293211577214095,BASELINE_current
2018-08-10,2019-05-07,270,VIX +6/5d,251.3495178222656,259.37744140625,-6.86349142361466,BASELINE_current
2018-08-24,2019-05-07,256,VIX +6/5d,255.21083068847656,259.37744140625,-12.721751720296973,BASELINE_current
2018-09-07,2019-05-07,242,VIX +6/5d,255.29066467285156,259.37744140625,-16.043380213961782,BASELINE_current
2018-09-21,2019-05-07,228,VIX +6/5d,260.3608703613281,259.37744140625,-19.005994144332437,BASELINE_current
2018-10-05,2019-05-07,214,VIX +6/5d,256.6424865722656,259.37744140625,-14.822922662296916,BASELINE_current
2018-11-07,2019-05-07,181,VIX +6/5d,250.57025146484375,259.37744140625,-4.4160582035384,BASELINE_current
2018-12-03,2019-06-03,182,SPY broke 50DMA,249.0455017089844,247.34226989746097,-22.829472488763393,BASELINE_current
2019-02-22,2019-08-23,182,SPY broke 50DMA,250.3563232421875,257.8509216308594,5.584447639140859,BASELINE_current
2019-03-11,2020-01-27,322,VIX +6/5d,249.72848510742188,295.63616943359375,71.34952229010658,BASELINE_current
2019-03-26,2020-01-27,307,VIX +6/5d,253.24281311035156,295.63616943359375,60.25392905389083,BASELINE_current
2019-04-09,2020-01-27,293,VIX +6/5d,258.8188781738281,295.63616943359375,48.60026597133344,BASELINE_current
2019-04-26,2020-01-27,276,VIX +6/5d,264.3140563964844,295.63616943359375,39.541061432219514,BASELINE_current
2019-05-10,2020-01-27,262,VIX +6/5d,259.53057861328125,295.63616943359375,46.883266392256004,BASELINE_current
2019-06-07,2020-01-27,234,VIX +6/5d,259.1250915527344,295.63616943359375,47.954051481716334,BASELINE_current
2019-07-01,2020-01-27,210,VIX +6/5d,267.6362609863281,295.63616943359375,37.32884200442098,BASELINE_current
2019-07-15,2020-01-27,196,VIX +6/5d,272.24383544921875,295.63616943359375,27.627028137739597,BASELINE_current
2019-07-29,2020-01-27,182,VIX +6/5d,272.8865661621094,295.63616943359375,28.341540498723127,BASELINE_current
2019-08-12,2020-02-24,196,VIX +6/5d,260.76568603515625,294.64923095703125,48.09793310461795,BASELINE_current
2019-08-29,2020-02-25,180,SPY broke 50DMA,264.84814453125,285.720703125,32.73902889162132,BASELINE_current
2019-09-12,2020-03-10,180,SPY broke 50DMA,272.7326354980469,263.5777282714844,47.19267027801942,BASELINE_current
2019-09-26,2020-03-24,180,SPY broke 50DMA,270.0908203125,223.5135803222656,24.953222865478484,BASELINE_current
2019-10-11,2020-04-08,180,SPY broke 50DMA,269.4360656738281,251.8997039794922,17.96598433576885,BASELINE_current
2019-10-25,2020-04-22,180,VIX>30,274.2739562988281,256.56024169921875,23.002767700563837,BASELINE_current
2019-12-02,2020-06-11,192,VIX>30,283.40435791015625,276.33319091796875,37.92607744033611,BASELINE_current
2019-12-16,2020-06-15,182,VIX>30,290.5521545410156,282.2530822753906,36.875450246602966,BASELINE_current
2020-01-09,2020-07-13,186,VIX>30,298.51483154296875,290.6875915527344,33.79587231497612,BASELINE_current
2020-01-27,2020-09-03,220,VIX>30,295.63616943359375,318.8939208984375,72.09942188053435,BASELINE_current
2020-02-10,2020-09-03,206,VIX>30,305.8531799316406,318.8939208984375,63.98167392522146,BASELINE_current
2020-02-25,2020-09-03,191,VIX>30,285.720703125,318.8939208984375,52.48794132341186,BASELINE_current
2020-06-26,2021-01-27,215,VIX>30,277.0321960449219,348.551025390625,53.17192036371229,BASELINE_current
2020-07-21,2021-01-27,190,VIX>30,300.077392578125,348.551025390625,40.12911429093337,BASELINE_current
2020-08-04,2021-02-01,181,VIX>30,304.73992919921875,350.2452697753906,32.652362687058314,BASELINE_current
2020-09-18,2021-05-12,236,VIX +6/5d,306.5067138671875,378.64605712890625,47.39872224343368,BASELINE_current
2020-10-05,2021-05-12,219,VIX +6/5d,314.95166015625,378.64605712890625,35.3571488575671,BASELINE_current
2020-11-05,2021-05-12,188,VIX +6/5d,324.6663513183594,378.64605712890625,35.583691025321535,BASELINE_current
2020-11-24,2021-07-19,237,VIX +6/5d,336.69854736328125,398.2133483886719,42.845875648934374,BASELINE_current
2020-12-08,2021-07-19,223,VIX +6/5d,343.14111328125,398.2133483886719,36.26757115447107,BASELINE_current
2020-12-22,2021-07-19,209,VIX +6/5d,341.876220703125,398.2133483886719,28.86824687892595,BASELINE_current
2021-01-07,2021-07-19,193,VIX +6/5d,352.9170227050781,398.2133483886719,21.088686959530037,BASELINE_current
2021-01-21,2021-08-19,210,VIX +6/5d,357.70196533203125,412.1657104492187,28.89598663541416,BASELINE_current
2021-02-04,2021-08-19,196,VIX +6/5d,359.517333984375,412.1657104492187,22.546786742980967,BASELINE_current
2021-02-26,2021-09-20,206,VIX +6/5d,354.09002685546875,408.01519775390625,19.054573824408113,BASELINE_current
2021-03-12,2021-09-20,192,VIX +6/5d,366.8438720703125,408.01519775390625,14.454959838631003,BASELINE_current
2021-03-26,2021-10-04,192,SPY broke 50DMA,369.838623046875,402.93902587890625,14.937858001585793,BASELINE_current
2021-04-26,2021-11-26,214,VIX +6/5d,390.04058837890625,431.4503173828125,33.146831719603775,BASELINE_current
