entry_date,exit_date,entry_spy,exit_spy,strike,contracts,cost,exit_value,pnl,pct,held_days,exit_reason,n_strategies,fired
2017-04-17,2018-02-02,203.40426635742188,242.441650390625,235,6,7401.504754716678,15772.983346097486,8371.478591380808,1.131050896920117,291,VIX +6/5d,3,"A_CHEAP_IV, E_A_OR_SQUEEZE, H_CURRENT"
2017-05-01,2018-02-02,206.9682159423828,242.441650390625,240,6,6433.201798928503,14405.949613525334,7972.747814596831,1.2393125637570936,277,VIX +6/5d,3,"A_CHEAP_IV, B_TREND_FOLLOW, F_VIX_CRUSH"
2017-05-15,2018-02-02,208.3729705810547,242.441650390625,240,6,7122.116175605332,14652.758225737733,7530.642050132401,1.0573601812234337,263,VIX +6/5d,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
2017-05-30,2018-02-02,209.4135284423828,242.441650390625,240,6,7428.602554975654,14914.255415420716,7485.652860445061,1.0076798166340444,248,VIX +6/5d,3,"A_CHEAP_IV, B_TREND_FOLLOW, F_VIX_CRUSH"
2017-07-14,2018-02-02,213.9724578857422,242.441650390625,245,6,6882.73406817727,14184.915537598325,7302.181469421054,1.0609419740889197,203,VIX +6/5d,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
2017-11-21,2018-10-10,227.6706085205078,248.15383911132812,260,5,6823.16649908515,9915.032509855042,3091.8660107698925,0.4531423952770975,323,VIX +6/5d,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
2018-03-09,2018-10-10,245.45179748535156,248.15383911132812,280,3,5697.77297496476,4874.96830803899,-822.8046669257701,-0.1444081170908462,215,VIX +6/5d,3,"A_CHEAP_IV, B_TREND_FOLLOW, F_VIX_CRUSH"
2018-05-09,2018-11-05,238.15467834472656,243.7756500244141,275,4,6580.9450290039,6611.713573488268,30.76854448436734,0.004675399102828322,180,SPY broke 50DMA,5,"A_CHEAP_IV, B_TREND_FOLLOW, E_A_OR_SQUEEZE, H_CURRENT, I_FILTER_CURR"
2018-06-06,2018-12-07,245.13587951660156,235.01939392089844,280,4,6445.293657403652,5328.49311262968,-1116.8005447739724,-0.17327380320229685,184,SPY broke 50DMA,5,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT, F_VIX_CRUSH"
2018-07-09,2019-01-07,246.680419921875,228.14942932128903,285,4,6228.634185639437,3927.8415268349772,-2300.79265880446,-0.36938959493063545,182,SPY broke 50DMA,7,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT, E_A_OR_SQUEEZE, H_CURRENT, I_FILTER_CURR"
2018-08-06,2019-05-07,252.663330078125,259.37744140625,290,4,6303.562774379719,5421.81752622654,-881.7452481531782,-0.13988045803826288,274,VIX +6/5d,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
2018-08-20,2019-05-07,253.57752990722656,259.37744140625,290,4,6705.297559163272,5587.407536487823,-1117.8900226754495,-0.16671743689402302,260,VIX +6/5d,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
2018-09-20,2019-05-07,260.5989685058594,259.37744140625,300,4,6381.046921154077,4809.751626490172,-1571.2952946639043,-0.24624412170592844,229,VIX +6/5d,8,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT, E_A_OR_SQUEEZE, G_BB_SQUEEZE, H_CURRENT, I_FILTER_CURR"
2019-03-13,2020-01-27,252.3294677734375,295.63616943359375,290,4,6638.277988616516,11927.274130372098,5288.996141755581,0.7967421898910053,320,VIX +6/5d,3,"A_CHEAP_IV, C_BREAKOUT, D_QUAL_BREAKOUT"
2019-04-02,2020-01-27,257.61181640625,295.63616943359375,295,4,7028.789591214045,11196.153616808142,4167.364025594097,0.5928992426808855,300,VIX +6/5d,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
2019-05-03,2020-01-27,264.87249755859375,295.63616943359375,305,4,6867.157668749402,9775.713271933275,2908.5556031838732,0.4235457730088144,269,VIX +6/5d,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
2019-07-11,2020-01-27,270.9402770996094,295.63616943359375,310,4,7120.526424202738,9895.335364736377,2774.8089405336386,0.38969154458889954,200,VIX +6/5d,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
2019-07-26,2020-01-27,273.3843688964844,295.63616943359375,315,4,6808.659419115555,9291.639251316421,2482.9798322008664,0.36467969380724374,185,VIX +6/5d,4,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT"
2019-10-15,2020-04-13,271.8005065917969,253.3979949951172,315,3,5943.140835432776,8864.849715921566,2921.70888048879,0.49161023798555714,181,SPY broke 50DMA,3,"A_CHEAP_IV, B_TREND_FOLLOW, F_VIX_CRUSH"
2019-12-16,2020-06-15,290.5521545410156,282.2530822753906,335,3,5797.901967325454,11044.400230899722,5246.498263574268,0.9048959939545949,182,VIX>30,6,"A_CHEAP_IV, B_TREND_FOLLOW, C_BREAKOUT, D_QUAL_BREAKOUT, E_A_OR_SQUEEZE, G_BB_SQUEEZE"
