gate,n_hc_days,n_trades,1y_trades,1y_win,1y_avg,1y_net,1y_roi,2y_trades,2y_win,2y_avg,2y_net,2y_roi,5y_trades,5y_win,5y_avg,5y_net,5y_roi,10y_trades,10y_win,10y_avg,10y_net,10y_roi
"≥3  &  one of {C,E}",147,60,9,100.0,34.840285893801,19571.565517936513,34.76987213294823,17,88.23529411764706,34.54556059831418,34552.56686851512,35.68005647733059,35,80.0,39.76398860561217,84380.26346244436,43.083702725547106,60,78.33333333333333,40.27718099497803,151034.66508865228,42.866394191995724
"≥3  &  one of {D,E}",146,59,9,100.0,34.840285893801,19571.565517936513,34.76987213294823,17,88.23529411764706,34.54556059831418,34552.56686851512,35.68005647733059,35,80.0,39.76398860561217,84380.26346244436,43.083702725547106,59,77.96610169491525,40.85054512447541,150694.98724267626,43.41909443943363
"≥3  &  one of {A,B}",147,58,7,100.0,31.964163366270366,14002.294736034499,31.888054775812396,15,93.33333333333333,36.67355763951886,31719.369715467925,37.74168280333556,32,81.25,40.22237261206077,77667.75574867721,43.904432247865905,58,79.3103448275862,41.39096282184484,150483.36958779057,44.43244311769979
≥3  &  includes A,115,45,6,100.0,31.686676339433955,11775.797655260612,31.61203932914739,13,100.0,41.59160790132944,30583.605498988618,42.20571451837023,24,91.66666666666666,53.560985925830906,78604.40546498215,57.439705898844096,45,82.22222222222221,50.86275340196288,146508.86447241076,53.181016594436684
"≥3  &  one of {B,D}",161,59,10,100.0,33.010860689580866,20524.090375927342,32.707705084102436,17,94.11764705882352,35.78378274609127,35786.131049704505,36.59763492450785,34,82.35294117647058,38.942272977151205,79692.06805138238,41.926227224404755,59,79.66101694915254,39.23050428368236,144972.3389095851,41.92073407961629
"≥3  &  one of {B,C}",162,60,10,100.0,33.010860689580866,20524.090375927342,32.707705084102436,18,88.88888888888889,32.561254686570095,34614.62709000097,33.588655095591825,35,80.0,37.19473025422432,78520.56409167883,40.19506354434403,60,78.33333333333333,38.20630050686616,143800.83494988154,40.95760438898548
≥3  &  includes D,130,48,9,100.0,33.482567575543264,18613.897016606155,33.174266478490345,14,92.85714285714286,37.312684733662266,31109.580235848916,38.00500933060431,29,82.75862068965517,40.30938229753468,68989.96842282193,42.68788829423678,48,79.16666666666666,42.435390455601315,125427.3059808701,44.42422169260642
≥3  &  includes C,133,51,9,100.0,33.482567575543264,18613.897016606155,33.174266478490345,15,86.66666666666667,33.34372426306545,29938.076276145366,34.36086523932561,31,77.41935483870968,35.080665708899275,64697.7696987454,37.57868185533082,51,76.47058823529412,38.468156658252326,121474.78510276973,40.74166887869941
"≥3  &  one of {C,D}",133,51,9,100.0,33.482567575543264,18613.897016606155,33.174266478490345,15,86.66666666666667,33.34372426306545,29938.076276145366,34.36086523932561,31,77.41935483870968,35.080665708899275,64697.7696987454,37.57868185533082,51,76.47058823529412,38.468156658252326,121474.78510276973,40.74166887869941
≥3  &  includes B,138,53,7,100.0,31.964163366270366,14002.294736034499,31.888054775812396,14,92.85714285714286,35.85463166797397,29264.33540981167,37.070021561377615,29,79.3103448275862,35.05299998063591,59998.94751394249,37.94190167817733,53,77.35849056603774,36.5090014823373,119904.329499116,39.10621005836852
≥3  &  ALL of {A+B},106,40,6,100.0,31.686676339433955,11775.797655260612,31.61203932914739,12,100.0,41.046031789677954,28128.571193332376,41.75655356583225,21,90.47619047619048,48.327844670116136,60935.59723024741,51.605921498512565,40,80.0,45.578128449630135,115929.82438373615,47.624675380471096
≥2  &  includes E,61,43,7,100.0,31.814906707528444,14033.919597774511,31.770474051086854,13,92.3076923076923,35.59716508611627,27314.61722911401,36.269172317024164,27,77.77777777777779,43.53061784592594,74674.19403574205,48.36500872731857,43,76.74418604651163,37.96515158635651,103711.6197657251,41.31388909665105
≥3  &  ALL of {A+C},86,34,5,100.0,32.2709118641369,9865.604295939425,32.22956288802135,9,100.0,45.17840678487283,23452.020379476788,45.59355274925229,17,88.23529411764706,46.779394778782276,46967.03207956473,49.33404060966614,34,79.41176470588235,47.45707957743499,100896.10892552111,48.75726808557819
≥3  &  ALL of {B+C},109,44,6,100.0,32.49727414132889,12092.101376713297,32.44441208296555,11,90.9090909090909,37.81982935812324,24587.784595956073,39.017519688020016,25,76.0,32.08888310065871,46176.15312100906,34.216948582646715,44,75.0,36.46534176642671,97578.27965200413,38.466047289496004
≥3  &  includes E,46,34,6,100.0,32.77067707729215,12175.267012530945,32.865108747000235,12,91.66666666666666,36.390238469213784,25455.96464387045,37.334121927512356,23,86.95652173913044,51.69711435805103,74558.62130293867,55.568589727923126,34,82.35294117647058,44.81409890925028,95907.47532118365,47.57560227706977
